OldResource NewModule
github_repository_environment.this module.build_server
github_actions_environment_secret.azure_client_id module.build_server
github_actions_environment_secret.azure_client_secret module.build_server
github_actions_environment_secret.azure_subscription_id module.build_server
github_actions_environment_secret.azure_tenant_id module.build_server
github_actions_environment_variable.cypress_auth0_domain module.build_server
github_actions_environment_variable.cypress_auth0_client_id module.build_server
github_actions_environment_variable.cypress_auth0_test_username module.build_server
github_actions_environment_secret.cypress_auth0_test_password module.build_server
github_actions_environment_variable.cypress_base_url module.build_server
azuread_application.bhs_github_actions module.build_server
azuread_service_principal.bhs_github_actions module.build_server
azuread_service_principal_password.bhs_github_actions module.build_server
auth0_client.bhs_spa module.auth
auth0_client_credentials.bhs_spa module.auth
auth0_client.bhs_api module.auth
auth0_client_credentials.bhs_api module.auth
auth0_client_grant.bhs_api_auth0_management module.auth
auth0_resource_server.bhs_api module.auth
auth0_resource_server_scopes.bhs_api_scopes module.auth
auth0_role.owner module.auth
auth0_role_permissions.owner_permissions module.auth
auth0_connection.bhs_userpassauth module.auth
auth0_connection_client.bhs_userpassauth_spa_assoc module.auth
auth0_connection_client.bhs_userpassauth_terraform_assoc module.auth
random_password.auth0_noreply_password module.auth
auth0_user.noreply module.auth
azurerm_cosmosdb_account.bhs_db module.mongo
azurerm_cosmosdb_mongo_database.bhs_db module.mongo
azurerm_key_vault.bhs module.key_vault
azurerm_storage_account.bhs module.public_storage
azurerm_storage_container.bhs_photos module.public_storage
azurerm_storage_container.bhs_videos module.public_storage
azurerm_log_analytics_workspace.bhs module.insights
azurerm_application_insights.bhs module.insights
azurerm_role_assignment.me_admin module.me
azurerm_service_plan.bhs module.web_apps
sendgrid_api_key.bhs_mail_send module.web_apps
azurerm_key_vault_secret.send_grid_api_key module.web_apps
azurerm_key_vault_secret.bhs_db_connstr module.web_apps
azurerm_key_vault_secret.auth0_management_client_secret module.web_apps
azurerm_linux_web_app.bhs_web module.web_apps
azurerm_role_assignment.bhs_web_key_vault module.web_apps
azurerm_role_assignment.bhs_github_actions module.web_apps
azurerm_app_configuration_key.send_grid_api_key module.web_apps
azurerm_app_configuration_key.bhs_db_connstr module.web_apps
azurerm_app_configuration_key.bhs_serilog_mongo_connstr module.web_apps
azurerm_app_configuration_key.bhs_auth_bearer_authority module.web_apps
azurerm_app_configuration_key.bhs_auth_bearer_issuer module.web_apps
azurerm_app_configuration_key.bhs_auth_bearer_audience module.web_apps
azurerm_app_configuration_key.auth0_audience module.web_apps
azurerm_app_configuration_key.auth0_client_id module.web_apps
azurerm_app_configuration_key.auth0_domain module.web_apps
azurerm_app_configuration_key.auth0_management_domain module.web_apps
azurerm_app_configuration_key.auth0_management_client_id module.web_apps
azurerm_app_configuration_key.auth0_management_client_secret module.web_apps
